year,County,fruit_name,Production
2019,苗栗縣,斗柚,104.913
2019,彰化縣,斗柚,1.862
2019,南投縣,斗柚,4.356
2019,雲林縣,斗柚,0.0
2019,嘉義縣,斗柚,120.604
2019,屏東縣,斗柚,0.0
2019,台東縣,斗柚,126.852
2019,花蓮縣,斗柚,111.804
2019,澎湖縣,斗柚,0.0
2019,基隆市,斗柚,1.92
2019,新竹市,斗柚,8.854
2019,嘉義市,斗柚,0.0
2019,福建省,斗柚,NULL
2019,金門縣,斗柚,0.0
2019,連江縣,斗柚,0.0
2019,新北市,白柚,75.588
2019,台北市,白柚,47.569
2019,桃園市,白柚,12.0
2019,台中市,白柚,62.964
2019,台南市,白柚,5449.278
2019,高雄市,白柚,86.808
2019,臺灣省,白柚,NULL
2019,宜蘭縣,白柚,85.243
2019,新竹縣,白柚,8.25
2019,苗栗縣,白柚,722.102
2019,彰化縣,白柚,1083.677
2019,南投縣,白柚,410.02
2019,雲林縣,白柚,760.275
2019,嘉義縣,白柚,992.093
2019,屏東縣,白柚,38.032
2019,台東縣,白柚,879.787
2019,花蓮縣,白柚,234.669
2019,澎湖縣,白柚,0.0
2019,基隆市,白柚,0.0
2019,新竹市,白柚,15.157
2019,嘉義市,白柚,194.076
2019,福建省,白柚,NULL
2019,金門縣,白柚,0.384
2019,連江縣,白柚,0.0
2019,新北市,溫州蜜柑,0.0
2019,台北市,溫州蜜柑,0.0
2019,桃園市,溫州蜜柑,0.0
2019,台中市,溫州蜜柑,57.714
2019,台南市,溫州蜜柑,13.5
2019,高雄市,溫州蜜柑,0.0
2019,臺灣省,溫州蜜柑,NULL
2019,宜蘭縣,溫州蜜柑,17.478
2019,新竹縣,溫州蜜柑,0.0
2019,苗栗縣,溫州蜜柑,9.605
2019,彰化縣,溫州蜜柑,3.05
2019,南投縣,溫州蜜柑,0.0
2019,雲林縣,溫州蜜柑,0.0
2019,嘉義縣,溫州蜜柑,8.876
2019,屏東縣,溫州蜜柑,0.0
2019,台東縣,溫州蜜柑,32.015
2019,花蓮縣,溫州蜜柑,0.0
2019,澎湖縣,溫州蜜柑,0.0
2019,基隆市,溫州蜜柑,0.0
2019,新竹市,溫州蜜柑,0.0
2019,嘉義市,溫州蜜柑,0.0
2019,福建省,溫州蜜柑,NULL
2019,金門縣,溫州蜜柑,0.0
2019,連江縣,溫州蜜柑,0.0
2019,新北市,晚崙西亞橙,0.0
2019,台北市,晚崙西亞橙,0.0
2019,桃園市,晚崙西亞橙,0.0
2019,台中市,晚崙西亞橙,0.0
2019,台南市,晚崙西亞橙,0.0
2019,高雄市,晚崙西亞橙,0.0
2019,臺灣省,晚崙西亞橙,NULL
2019,宜蘭縣,晚崙西亞橙,0.0
2019,新竹縣,晚崙西亞橙,0.0
2019,苗栗縣,晚崙西亞橙,0.0
2019,彰化縣,晚崙西亞橙,0.0
2019,南投縣,晚崙西亞橙,0.0
2019,雲林縣,晚崙西亞橙,0.0
2019,嘉義縣,晚崙西亞橙,0.0
2019,屏東縣,晚崙西亞橙,0.0
2019,台東縣,晚崙西亞橙,1352.413
2019,花蓮縣,晚崙西亞橙,43.793
2019,澎湖縣,晚崙西亞橙,0.0
2019,基隆市,晚崙西亞橙,0.0
2019,新竹市,晚崙西亞橙,0.0
2019,嘉義市,晚崙西亞橙,0.0
2019,福建省,晚崙西亞橙,NULL
2019,金門縣,晚崙西亞橙,0.0
2019,連江縣,晚崙西亞橙,0.0
2019,新北市,檸檬,1.577
2019,台北市,檸檬,3.57
2019,桃園市,檸檬,51.415
2019,台中市,檸檬,580.114
2019,台南市,檸檬,740.753
2019,高雄市,檸檬,3450.284
2019,臺灣省,檸檬,NULL
2019,宜蘭縣,檸檬,128.235
2019,新竹縣,檸檬,45.72
2019,苗栗縣,檸檬,28.708
2019,彰化縣,檸檬,793.36
2019,南投縣,檸檬,2551.104
2019,雲林縣,檸檬,401.195
2019,嘉義縣,檸檬,1281.074
2019,屏東縣,檸檬,34384.676
2019,台東縣,檸檬,1210.757
2019,花蓮縣,檸檬,422.144
2019,澎湖縣,檸檬,0.8
2019,基隆市,檸檬,0.0
2019,新竹市,檸檬,0.0
2019,嘉義市,檸檬,27.492
2019,福建省,檸檬,NULL
2019,金門縣,檸檬,2.022
2019,連江縣,檸檬,0.0
2019,新北市,葡萄柚,71.423
2019,台北市,葡萄柚,8.34
2019,桃園市,葡萄柚,0.0
2019,台中市,葡萄柚,26.945
2019,台南市,葡萄柚,347.804
2019,高雄市,葡萄柚,29.148
2019,臺灣省,葡萄柚,NULL
2019,宜蘭縣,葡萄柚,50.038
2019,新竹縣,葡萄柚,81.388
2019,苗栗縣,葡萄柚,32.932
2019,彰化縣,葡萄柚,37.149
2019,南投縣,葡萄柚,58.869
2019,雲林縣,葡萄柚,2156.139
2019,嘉義縣,葡萄柚,4400.846
2019,屏東縣,葡萄柚,144.815
2019,台東縣,葡萄柚,228.183
2019,花蓮縣,葡萄柚,503.435
2019,澎湖縣,葡萄柚,0.0
2019,基隆市,葡萄柚,0.0
2019,新竹市,葡萄柚,41.37
2019,嘉義市,葡萄柚,363.63
2019,福建省,葡萄柚,NULL
2019,金門縣,葡萄柚,0.0
2019,連江縣,葡萄柚,0.0
2019,新北市,其他雜柑類,22.98
2019,台北市,其他雜柑類,13.515
2019,桃園市,其他雜柑類,24.985
2019,台中市,其他雜柑類,11536.621
2019,台南市,其他雜柑類,685.443
2019,高雄市,其他雜柑類,493.425
2019,臺灣省,其他雜柑類,NULL
2019,宜蘭縣,其他雜柑類,5394.64
2019,新竹縣,其他雜柑類,11096.967
2019,苗栗縣,其他雜柑類,6344.614
2019,彰化縣,其他雜柑類,1178.136
2019,南投縣,其他雜柑類,2590.687
2019,雲林縣,其他雜柑類,8708.537
2019,嘉義縣,其他雜柑類,4912.413
2019,屏東縣,其他雜柑類,2792.158
2019,台東縣,其他雜柑類,2305.68
2019,花蓮縣,其他雜柑類,1560.083
