fruit_name,year,January,Febuary,March,April,May,June,July,August,September,October,November,December
芥藍,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
莧菜,2019,26.58,-1.0,45.53,23.66,29.19,23.99,30.06,30.06,31.87,29.62,19.63,24.29,34.02
本島萵苣,2019,13.17,20.5,30.5,26.0,21.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
萵苣,2019,12.5,8.0,19.63,18.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茼萵,2019,26.56,21.83,33.83,38.33,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,34.0,39.08,32.0
花椰菜,2019,20.13,20.31,25.9,22.33,32.63,33.6,49.5,49.5,47.42,55.31,38.09,25.17,20.09
青花苔,2019,26.23,26.66,34.0,47.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
金針菜,2019,627.33,627.75,626.5,628.17,627.33,627.33,626.5,626.5,602.83,600.0,606.67,663.83,641.5
越瓜,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
胡瓜,2019,18.07,19.34,22.65,18.59,19.77,13.67,13.73,13.73,21.03,31.63,18.91,14.18,24.09
胡瓜,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
花胡瓜,2019,26.94,21.9,34.4,26.08,28.17,22.88,28.98,28.98,44.52,47.02,26.99,31.53,36.12
冬瓜,2019,7.33,9.0,11.83,10.03,9.68,14.67,15.0,15.0,13.0,15.38,12.9,13.2,-1.0
苦瓜,2019,24.62,29.13,38.75,27.64,33.69,27.95,37.87,37.87,46.55,63.36,38.08,36.73,38.61
絲瓜,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
絲瓜,2019,16.8,14.56,23.27,15.33,20.84,27.18,22.83,22.83,31.04,24.81,16.49,19.99,30.38
扁蒲,2019,10.99,11.67,17.35,13.22,15.67,-1.0,-1.0,-1.0,-1.0,-1.0,11.25,8.67,16.47
茄子,2019,17.19,12.3,20.95,18.43,24.78,29.45,26.67,26.67,31.59,42.81,23.94,23.19,21.39
番茄,2019,14.89,10.14,23.06,24.73,46.83,50.0,74.0,74.0,27.0,40.25,43.08,31.18,20.99
小蕃茄,2019,28.56,24.83,31.22,31.17,55.5,58.33,64.33,64.33,89.33,72.0,-1.0,70.55,57.78
小番茄,2019,115.83,83.29,108.23,116.47,139.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,169.59,163.58
牛蕃茄,2019,11.69,9.48,18.5,25.12,31.56,66.68,105.08,105.08,60.6,40.42,53.72,24.84,19.03
甜椒,2019,14.88,23.13,30.82,25.65,28.5,52.24,51.31,51.31,37.65,66.21,38.2,22.51,21.72
西瓜,2019,-1.0,-1.0,7.0,10.4,13.43,13.88,18.59,18.59,23.67,-1.0,-1.0,-1.0,-1.0
西瓜,2019,-1.0,-1.0,13.33,11.92,10.11,14.47,14.4,14.4,13.02,17.5,19.0,-1.0,-1.0
西瓜,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2019,37.52,33.6,35.04,44.11,40.19,41.33,33.92,33.92,44.05,47.5,45.67,31.33,29.67
香瓜,2019,-1.0,-1.0,36.67,34.11,26.4,27.05,28.63,28.63,45.48,32.91,31.06,21.75,-1.0
敏豆,2019,54.73,46.0,66.56,78.0,72.08,84.39,85.63,85.63,84.32,106.98,75.62,45.77,55.97
豇豆,2019,46.67,44.5,58.48,36.83,33.17,28.33,40.25,40.25,46.67,49.73,41.95,39.67,35.78
豌豆,2019,74.67,52.37,84.0,84.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.18,69.08
甜豌豆,2019,60.17,45.0,68.33,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
毛豆,2019,23.2,12.35,10.0,-1.0,8.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.7
菜豆,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
辣椒,2019,25.0,23.97,48.52,57.92,38.72,48.39,82.98,82.98,147.03,146.4,120.55,67.67,64.19
玉米筍,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜玉米,2019,17.88,17.56,21.86,18.6,15.98,14.77,16.3,16.3,23.69,24.79,29.68,19.35,15.86
蓮藕,2019,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.0,53.83,54.5,130.0,130.0
草莓,2019,186.11,135.56,129.44,138.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,175.67
洋菇,2019,96.67,93.33,94.22,126.67,128.33,118.33,120.0,120.0,120.0,120.0,120.0,103.33,100.0
香菇,2019,1513.33,1512.5,1520.0,1515.83,1515.83,1520.0,1513.33,1513.33,1522.5,1523.33,1518.33,1462.5,1441.67
香菇,2019,108.33,108.33,107.67,107.67,107.67,107.67,108.33,108.33,108.33,108.78,109.0,104.55,103.44
木耳,2019,49.83,51.25,57.11,63.72,49.55,52.78,55.55,55.55,55.55,63.34,62.22,62.72,60.06
鮑魚菇,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
杏鮑菇,2019,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,68.89,68.89,71.22,77.11,72.11,71.89,66.78
葡萄柚,2019,12.17,14.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.33,23.81,17.81,14.67
芒果,2019,-1.0,-1.0,-1.0,67.0,62.0,47.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
芒果,2019,-1.0,-1.0,-1.0,-1.0,63.46,47.09,38.05,38.05,-1.0,-1.0,-1.0,-1.0,-1.0
芒果,2019,-1.0,-1.0,-1.0,-1.0,-1.0,27.08,20.95,20.95,32.31,-1.0,-1.0,-1.0,-1.0
番石榴,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2019,24.87,24.16,17.58,10.38,18.25,23.51,21.77,21.77,27.74,33.67,33.2,37.96,45.05
番石榴,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蓮霧,2019,60.72,54.88,49.16,58.93,59.92,56.33,-1.0,-1.0,-1.0,-1.0,-1.0,86.67,70.31
枇杷,2019,-1.0,177.15,177.95,180.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2019,-1.0,-1.0,-1.0,-1.0,-1.0,90.62,90.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2019,-1.0,-1.0,-1.0,-1.0,233.55,174.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
龍眼,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,103.67,103.67,107.06,108.57,-1.0,-1.0,-1.0
棗子,2019,59.64,36.15,43.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.08
番荔枝,2019,82.0,92.67,102.17,-1.0,-1.0,-1.0,99.67,99.67,68.07,87.42,86.28,82.82,88.61
鳳梨釋迦,2019,75.67,79.07,90.89,111.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.72,76.21
楊桃,2019,21.0,21.84,22.22,29.33,-1.0,-1.0,-1.0,-1.0,28.33,25.83,25.33,30.0,32.0
酪梨,2019,-1.0,-1.0,-1.0,-1.0,-1.0,81.06,61.78,61.78,72.78,82.28,85.83,75.0,80.0
椰子,2019,9.28,8.67,8.29,8.74,9.55,8.78,9.0,9.0,8.61,11.17,10.67,10.33,9.92
檳榔,2019,1.15,1.45,1.5,1.77,1.3,0.47,0.24,0.24,1.09,1.12,1.16,1.05,0.99
彌猴桃,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
木瓜,2019,26.5,21.54,27.5,30.31,28.36,35.15,32.32,32.32,35.33,31.91,29.15,35.2,34.39
百香果,2019,-1.0,-1.0,-1.0,-1.0,-1.0,79.04,61.75,61.75,61.32,65.64,53.54,43.03,32.81
香蕉,2019,20.06,15.11,18.99,21.65,22.84,23.62,19.99,19.99,28.2,26.14,21.0,15.98,25.12
鳳梨,2019,-1.0,-1.0,-1.0,-1.0,-1.0,18.69,19.0,19.0,25.32,18.1,18.0,18.0,-1.0
鳳梨,2019,18.33,12.25,14.39,18.01,22.92,23.87,21.29,21.29,27.11,28.89,-1.0,23.0,25.33
紅龍果,2019,-1.0,-1.0,-1.0,-1.0,54.46,47.2,30.11,30.11,37.7,41.08,37.32,30.6,-1.0
椪柑,2019,32.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.09,29.82,30.4
桶柑,2019,32.35,25.18,26.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
文旦,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.5,41.77,-1.0,-1.0,-1.0
柳橙,2019,21.7,25.13,25.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.14,18.71,17.78
檸檬,2019,40.92,29.68,26.73,19.09,17.73,14.11,11.9,11.9,11.6,14.66,28.86,42.61,62.36
海梨柑,2019,15.28,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茂谷柑,2019,38.47,27.27,26.0,27.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.58
白柚,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,44.89,44.22,34.67
金柑,2019,41.27,49.75,51.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,39.13
李,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
李,2019,-1.0,-1.0,-1.0,-1.0,70.0,62.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鶯歌桃,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜桃,2019,-1.0,-1.0,-1.0,55.5,61.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
水蜜桃,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,155.9,155.9,180.0,-1.0,-1.0,-1.0,-1.0
牛心柿,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0,-1.0
甜柿,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,113.84,116.83,142.78
紅柿,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,28.83,27.59,-1.0,-1.0
青梅,2019,-1.0,-1.0,-1.0,51.47,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青梅,2019,-1.0,-1.0,-1.0,31.0,29.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
橫山梨,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,50.0,50.0,20.0,-1.0,-1.0,-1.0
新世紀梨,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.0,45.0,-1.0,-1.0
豐水梨,2019,-1.0,-1.0,-1.0,-1.0,-1.0,78.48,66.28,66.28,105.0,-1.0,-1.0,-1.0,-1.0
幸水梨,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
新興梨,2019,-1.0,-1.0,-1.0,-1.0,-1.0,61.0,45.83,45.83,48.63,52.86,-1.0,-1.0,-1.0
五爪蘋果,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
金冠蘋果,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
富士蘋果,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
巨峰葡萄,2019,59.48,72.5,85.0,107.67,96.5,74.55,55.61,55.61,69.11,105.67,78.33,78.0,82.55
落花生,2019,52.77,56.92,51.89,51.89,51.68,50.39,53.88,53.88,55.39,55.25,56.5,70.67,66.3
花生仁,2019,95.35,-1.0,-1.0,-1.0,93.33,91.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅豆,2019,61.33,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.33
綠豆,2019,80.0,80.0,80.0,80.0,100.67,104.0,100.0,100.0,100.0,100.0,100.0,100.0,-1.0
花豆,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
大豆,2019,-1.0,-1.0,-1.0,-1.0,67.0,61.2,52.77,52.77,-1.0,-1.0,-1.0,62.0,70.67
甘藷,2019,12.91,12.43,11.05,10.4,9.72,11.71,16.06,16.06,19.7,19.25,21.82,20.22,16.01
烏龍茶菁,2019,-1.0,-1.0,220.0,260.58,265.48,233.61,133.0,133.0,133.0,168.6,186.44,237.52,-1.0
烏龍茶菁,2019,-1.0,-1.0,-1.0,88.5,80.17,39.0,34.0,34.0,36.5,37.25,79.42,75.83,-1.0
金萱茶菁,2019,-1.0,-1.0,129.17,147.0,157.5,128.61,83.0,83.0,83.0,101.0,114.86,144.67,-1.0
金萱茶菁,2019,-1.0,-1.0,48.0,54.56,52.4,31.83,31.0,31.0,30.3,26.5,51.11,49.56,-1.0
蓮子,2019,-1.0,-1.0,-1.0,-1.0,580.0,582.0,558.0,558.0,540.5,516.67,510.0,-1.0,-1.0
荖花,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
咖啡,2019,105.0,105.0,105.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,110.0,102.22
紅甘蔗,2019,10.64,10.65,11.51,11.5,9.75,9.73,9.72,9.72,9.65,9.09,10.69,10.57,10.72
芝麻,2019,229.57,218.25,184.0,184.0,202.0,207.78,200.0,200.0,200.0,200.0,200.0,200.0,218.67
文心蘭,2019,5.54,7.47,8.67,11.34,10.62,9.04,7.81,7.81,6.73,4.2,5.32,5.98,7.35
菊花,2019,4.0,6.67,5.48,8.26,5.95,6.65,6.68,6.68,7.68,8.0,7.69,8.95,7.2
菊,2019,2.46,5.39,4.77,7.7,6.67,7.67,5.67,5.67,5.83,8.13,7.0,5.47,4.31
玫瑰,2019,5.04,7.08,5.76,4.32,5.08,5.98,4.34,4.34,5.94,4.66,5.37,5.6,5.32
火鶴,2019,10.15,11.83,10.61,11.27,7.85,8.57,10.17,10.17,10.87,9.94,10.74,10.31,11.47
非洲菊,2019,2.08,2.14,2.2,3.41,2.54,4.46,4.73,4.73,3.34,5.9,4.83,2.96,2.79
滿天星,2019,38.67,52.0,34.83,42.67,64.23,81.83,37.67,37.67,46.67,56.33,61.83,40.17,52.5
卡斯比亞,2019,43.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香石竹,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香石竹,2019,3.17,3.5,3.0,3.56,4.61,3.47,4.5,4.5,3.42,3.18,5.58,3.72,4.08
天堂鳥,2019,10.67,11.5,10.33,11.67,9.67,7.6,6.33,6.33,7.67,9.67,13.0,11.33,12.67
夜來香,2019,4.0,4.25,4.33,7.0,3.17,3.17,4.17,4.17,5.83,7.33,7.33,6.83,4.83
唐菖蒲,2019,3.05,4.6,3.24,5.55,4.98,4.24,4.12,4.12,4.8,4.5,5.85,4.44,3.38
葵百合,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
姬百合,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香水百合,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香水百合,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香水百合,2019,17.01,27.94,25.58,33.33,37.56,29.27,26.58,26.58,28.4,30.77,38.59,26.3,22.72
大理花,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
聖誕紅,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.67,75.0
蘿蔔,2018,8.1,7.44,5.68,6.5,7.08,9.43,-1.0,-1.0,-1.0,16.0,7.63,4.68,4.98
白玉蘿蔔,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
胡蘿蔔,2018,6.4,7.63,7.76,9.17,11.03,10.92,12.0,12.0,13.43,14.5,16.5,12.93,11.75
山藥,2018,41.0,40.0,34.0,30.67,29.0,-1.0,-1.0,-1.0,-1.0,46.67,46.0,39.33,25.67
牛蒡,2018,-1.0,-1.0,25.0,28.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
生薑,2018,-1.0,-1.0,-1.0,-1.0,72.33,64.33,59.83,59.83,53.5,51.0,49.33,-1.0,-1.0
生薑,2018,33.05,31.83,30.28,38.42,51.54,46.67,56.67,56.67,58.33,55.0,52.0,41.33,35.0
芋頭,2018,27.35,29.9,32.67,40.0,42.67,42.67,39.67,39.67,39.18,34.36,37.79,36.18,33.37
綠竹筍,2018,-1.0,-1.0,-1.0,135.47,123.47,89.14,90.53,90.53,69.72,69.85,82.03,-1.0,-1.0
烏殼綠竹筍,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
麻竹筍,2018,20.0,25.0,30.0,29.17,30.83,31.39,25.33,25.33,23.92,21.61,27.33,33.33,43.33
桂竹筍,2018,-1.0,-1.0,-1.0,-1.0,30.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
轎篙筍,2018,-1.0,-1.0,-1.0,-1.0,33.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
白蘆筍,2018,-1.0,-1.0,-1.0,135.0,108.0,99.5,103.33,103.33,115.17,103.0,99.17,79.0,-1.0
綠蘆筍,2018,258.33,171.5,129.25,109.92,103.13,114.8,125.53,125.53,142.8,145.44,152.67,168.33,190.0
茭白筍,2018,-1.0,80.0,75.33,58.33,52.0,60.0,56.67,56.67,52.67,64.0,56.67,42.67,-1.0
大芥菜,2018,11.89,9.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
馬鈴薯,2018,21.05,21.28,20.54,21.8,21.5,22.5,22.9,22.9,23.53,24.5,23.67,23.17,21.92
加工麻竹筍,2018,-1.0,-1.0,-1.0,-1.0,-1.0,29.74,20.21,20.21,13.79,13.02,-1.0,-1.0,-1.0
青蔥,2018,32.59,34.68,24.25,24.78,29.53,37.98,39.7,39.7,30.52,38.91,39.96,26.72,20.86
青蔥,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蔥頭,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋蔥,2018,15.42,9.75,9.9,8.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.5
洋蔥,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青蒜,2018,51.21,35.2,28.95,34.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.0
蒜頭,2018,-1.0,-1.0,65.35,48.79,49.92,51.11,52.7,52.7,53.76,56.89,57.03,55.11,51.11
荸薺,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
韭菜,2018,33.78,44.17,25.56,18.22,15.22,17.78,24.78,24.78,24.22,40.33,43.37,27.73,24.13
韭黃,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蕹菜,2018,45.98,53.92,30.9,20.38,14.24,25.35,24.11,24.11,25.55,39.03,21.22,27.71,35.52
芹菜,2018,28.65,39.67,22.22,25.28,28.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甘藍,2018,12.94,13.29,5.5,4.95,6.26,9.86,12.99,12.99,20.23,29.01,28.76,7.79,4.61
甘藍芽,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
小白菜,2018,16.52,15.75,11.87,12.95,18.54,26.06,28.5,28.5,19.93,44.05,15.31,17.44,20.57
青江白菜,2018,23.6,18.64,9.33,12.8,11.13,17.28,24.53,24.53,17.4,41.72,10.7,16.11,18.33
結球白菜,2018,10.08,11.04,7.62,8.07,7.64,10.22,14.04,14.04,14.67,19.72,14.21,8.12,7.36
結球白菜,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
菠菜,2018,23.09,17.35,12.34,18.23,-1.0,47.97,48.5,48.5,61.03,62.43,53.92,29.84,23.53
芥藍,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
莧菜,2018,45.57,-1.0,26.39,20.93,13.2,21.23,20.3,20.3,22.21,37.21,21.13,19.13,30.93
本島萵苣,2018,23.51,18.34,11.67,16.78,12.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
萵苣,2018,12.67,9.67,6.33,8.46,8.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茼萵,2018,28.89,28.83,16.83,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,38.33,43.0,18.17
花椰菜,2018,26.18,22.11,18.44,17.39,23.24,32.72,52.68,52.68,56.64,53.99,48.23,24.71,24.81
青花苔,2018,29.17,22.29,15.54,20.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
金針菜,2018,600.83,600.0,600.0,660.0,570.0,563.33,570.0,570.0,624.0,634.33,616.56,627.33,627.33
越瓜,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
胡瓜,2018,24.34,30.0,26.05,10.12,8.24,11.3,17.82,17.82,18.42,23.29,19.33,10.73,14.2
胡瓜,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
花胡瓜,2018,33.44,44.0,36.72,16.89,14.48,23.0,35.63,35.63,26.05,35.61,22.89,26.0,27.45
冬瓜,2018,10.5,15.0,24.88,18.02,8.15,6.0,7.33,7.33,9.0,12.97,11.68,10.22,9.67
苦瓜,2018,48.22,51.85,55.75,29.22,22.32,17.74,25.96,25.96,24.86,51.3,47.62,30.95,20.0
絲瓜,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
絲瓜,2018,25.25,23.4,32.88,19.34,15.16,14.42,21.7,21.7,20.54,27.32,16.72,15.17,17.56
扁蒲,2018,16.44,19.39,21.76,9.89,7.02,-1.0,-1.0,-1.0,-1.0,-1.0,13.5,8.0,-1.0
茄子,2018,16.49,13.02,14.78,16.45,18.91,22.92,31.51,31.51,23.1,41.2,30.55,23.41,20.79
番茄,2018,20.14,18.13,17.27,19.25,18.67,26.33,20.5,20.5,23.67,35.7,70.83,41.44,14.48
小蕃茄,2018,33.11,35.33,30.39,32.5,29.83,25.67,40.0,40.0,56.67,87.0,-1.0,72.22,30.78
甜椒,2018,22.99,22.5,19.86,17.22,11.83,30.28,45.77,45.77,20.58,43.57,38.81,24.15,12.39
西瓜,2018,-1.0,-1.0,-1.0,14.11,11.53,11.34,16.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0
西瓜,2018,-1.0,-1.0,32.0,10.89,9.17,12.07,14.68,14.68,10.89,8.22,22.25,-1.0,-1.0
西瓜,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2018,44.25,39.9,44.46,31.87,22.75,26.77,36.45,36.45,28.17,43.5,41.78,27.53,25.67
洋香瓜,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香瓜,2018,-1.0,-1.0,40.0,47.22,24.79,29.53,28.14,28.14,33.95,28.47,30.83,31.33,-1.0
敏豆,2018,67.87,86.67,60.89,35.58,50.18,66.4,75.99,75.99,90.85,107.47,92.21,46.71,43.83
豇豆,2018,38.11,70.17,54.89,26.08,21.25,26.17,37.08,37.08,39.13,49.07,47.33,33.75,35.67
豌豆,2018,63.03,82.3,60.89,36.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.0,63.74
甜豌豆,2018,50.83,66.25,39.67,41.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
毛豆,2018,19.2,14.7,14.7,15.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.7
菜豆,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
